method,m,i,step,cost,time
random,1,1,511,35.276039123535156,5.116044044494629
random,1,1,512,34.82246017456055,5.116044044494629
random,1,1,513,35.18446731567383,5.116044044494629
random,1,1,514,35.16526412963867,5.116044044494629
random,1,1,515,35.16526412963867,5.116044044494629
random,1,1,516,34.93122863769531,5.116044044494629
random,1,1,517,35.12864685058594,5.116044044494629
random,1,1,518,34.399208068847656,5.116044044494629
random,1,1,519,34.18275451660156,5.116044044494629
random,1,1,520,34.16455078125,5.116044044494629
random,1,1,521,33.683589935302734,5.116044044494629
random,1,1,522,34.40682601928711,5.116044044494629
random,1,1,523,34.42782974243164,5.116044044494629
random,1,1,524,34.99481964111328,5.116044044494629
random,1,1,525,34.38383865356445,5.116044044494629
random,1,1,526,34.147247314453125,5.116044044494629
random,1,1,527,33.95378494262695,5.116044044494629
random,1,1,528,33.46035385131836,5.116044044494629
random,1,1,529,33.617835998535156,5.116044044494629
random,1,1,530,34.211483001708984,5.116044044494629
random,1,1,531,34.25663375854492,5.116044044494629
random,1,1,532,34.158409118652344,5.116044044494629
random,1,1,533,34.158409118652344,5.116044044494629
random,1,1,534,34.021324157714844,5.116044044494629
random,1,1,535,34.263179779052734,5.116044044494629
random,1,1,536,34.407814025878906,5.116044044494629
random,1,1,537,34.407814025878906,5.116044044494629
random,1,1,538,33.908348083496094,5.116044044494629
random,1,1,539,33.609230041503906,5.116044044494629
random,1,1,540,33.58018112182617,5.116044044494629
random,1,1,541,33.601539611816406,5.116044044494629
random,1,1,542,33.6900520324707,5.116044044494629
random,1,1,543,33.78950500488281,5.116044044494629
random,1,1,544,33.839508056640625,5.116044044494629
random,1,1,545,33.93601989746094,5.116044044494629
random,1,1,546,33.91557312011719,5.116044044494629
random,1,1,547,34.02920150756836,5.116044044494629
random,1,1,548,34.02920150756836,5.116044044494629
random,1,1,549,34.14994430541992,5.116044044494629
random,1,1,550,34.14994430541992,5.116044044494629
random,1,1,551,33.696937561035156,5.116044044494629
random,1,1,552,34.06381607055664,5.116044044494629
random,1,1,553,34.05958557128906,5.116044044494629
random,1,1,554,33.707847595214844,5.116044044494629
random,1,1,555,33.697444915771484,5.116044044494629
random,1,1,556,33.64154052734375,5.116044044494629
random,1,1,557,33.64154052734375,5.116044044494629
random,1,1,558,33.5186767578125,5.116044044494629
random,1,1,559,33.58308792114258,5.116044044494629
random,1,1,560,33.35959243774414,5.116044044494629
random,1,1,561,32.95848083496094,5.116044044494629
random,1,1,562,33.54234313964844,5.116044044494629
random,1,1,563,33.578094482421875,5.116044044494629
