method,m,i,step,cost,time
random,1,2,111,36.17375183105469,4.937280893325806
random,1,2,112,36.202266693115234,4.937280893325806
random,1,2,113,36.06103515625,4.937280893325806
random,1,2,114,36.172210693359375,4.937280893325806
random,1,2,115,36.171878814697266,4.937280893325806
random,1,2,116,36.236331939697266,4.937280893325806
random,1,2,117,35.79350662231445,4.937280893325806
random,1,2,118,36.43914794921875,4.937280893325806
random,1,2,119,36.52775573730469,4.937280893325806
random,1,2,120,36.704254150390625,4.937280893325806
random,1,2,121,36.64329528808594,4.937280893325806
random,1,2,122,36.649452209472656,4.937280893325806
random,1,2,123,36.43359375,4.937280893325806
random,1,2,124,36.69587326049805,4.937280893325806
random,1,2,125,36.6651611328125,4.937280893325806
random,1,2,126,37.134971618652344,4.937280893325806
random,1,2,127,36.52393341064453,4.937280893325806
random,1,2,128,36.73271942138672,4.937280893325806
random,1,2,129,36.62302017211914,4.937280893325806
random,1,2,130,36.478599548339844,4.937280893325806
random,1,2,131,36.54106903076172,4.937280893325806
random,1,2,132,36.77375411987305,4.937280893325806
random,1,2,133,36.783294677734375,4.937280893325806
random,1,2,134,36.80271530151367,4.937280893325806
random,1,2,135,36.41692352294922,4.937280893325806
random,1,2,136,36.18500518798828,4.937280893325806
random,1,2,137,36.82903289794922,4.937280893325806
random,1,2,138,36.403045654296875,4.937280893325806
random,1,2,139,36.379783630371094,4.937280893325806
random,1,2,140,36.45064163208008,4.937280893325806
random,1,2,141,36.97821044921875,4.937280893325806
random,1,2,142,36.89092254638672,4.937280893325806
random,1,2,143,37.03516387939453,4.937280893325806
random,1,2,144,37.04669189453125,4.937280893325806
random,1,2,145,37.011531829833984,4.937280893325806
random,1,2,146,37.07470703125,4.937280893325806
random,1,2,147,37.024654388427734,4.937280893325806
random,1,2,148,36.992164611816406,4.937280893325806
random,1,2,149,36.98638153076172,4.937280893325806
random,1,2,150,37.0988655090332,4.937280893325806
random,1,2,151,37.12697982788086,4.937280893325806
random,1,2,152,37.08230209350586,4.937280893325806
random,1,2,153,36.772945404052734,4.937280893325806
random,1,2,154,36.08647155761719,4.937280893325806
random,1,2,155,36.5775260925293,4.937280893325806
random,1,2,156,35.893638610839844,4.937280893325806
random,1,2,157,36.57088851928711,4.937280893325806
random,1,2,158,36.56022262573242,4.937280893325806
random,1,2,159,37.10181427001953,4.937280893325806
random,1,2,160,37.093772888183594,4.937280893325806
random,1,2,161,37.456180572509766,4.937280893325806
random,1,2,162,37.801605224609375,4.937280893325806
random,1,2,163,37.930023193359375,4.937280893325806
random,1,2,164,37.624366760253906,4.937280893325806
random,1,2,165,37.399139404296875,4.937280893325806
random,1,2,166,37.044639587402344,4.937280893325806
random,1,2,167,37.35247039794922,4.937280893325806
random,1,2,168,37.373191833496094,4.937280893325806
random,1,2,169,36.834197998046875,4.937280893325806
random,1,2,170,36.875885009765625,4.937280893325806
random,1,2,171,36.805057525634766,4.937280893325806
random,1,2,172,36.058414459228516,4.937280893325806
random,1,2,173,36.1839714050293,4.937280893325806
random,1,2,174,36.42012405395508,4.937280893325806
random,1,2,175,36.55449295043945,4.937280893325806
random,1,2,176,35.71443557739258,4.937280893325806
random,1,2,177,35.60586166381836,4.937280893325806
random,1,2,178,35.60329818725586,4.937280893325806
random,1,2,179,34.711936950683594,4.937280893325806
random,1,2,180,34.6325798034668,4.937280893325806
random,1,2,181,35.075645446777344,4.937280893325806
random,1,2,182,35.15630340576172,4.937280893325806
random,1,2,183,34.89330291748047,4.937280893325806
random,1,2,184,35.056480407714844,4.937280893325806
random,1,2,185,35.06917190551758,4.937280893325806
random,1,2,186,35.091796875,4.937280893325806
random,1,2,187,35.09260559082031,4.937280893325806
random,1,2,188,35.22022247314453,4.937280893325806
random,1,2,189,35.14398193359375,4.937280893325806
random,1,2,190,34.81683349609375,4.937280893325806
random,1,2,191,35.41010284423828,4.937280893325806
random,1,2,192,35.46880340576172,4.937280893325806
random,1,2,193,35.183876037597656,4.937280893325806
random,1,2,194,35.13165283203125,4.937280893325806
random,1,2,195,34.75210189819336,4.937280893325806
random,1,2,196,34.74153137207031,4.937280893325806
random,1,2,197,34.295448303222656,4.937280893325806
random,1,2,198,34.29500198364258,4.937280893325806
random,1,2,199,34.4561767578125,4.937280893325806
random,1,2,200,34.643062591552734,4.937280893325806
random,1,2,201,34.96522903442383,4.937280893325806
random,1,2,202,35.29045486450195,4.937280893325806
random,1,2,203,35.29045486450195,4.937280893325806
random,1,2,204,35.34021759033203,4.937280893325806
random,1,2,205,35.387516021728516,4.937280893325806
random,1,2,206,35.50802993774414,4.937280893325806
random,1,2,207,35.49351501464844,4.937280893325806
random,1,2,208,36.00413131713867,4.937280893325806
random,1,2,209,35.78754425048828,4.937280893325806
random,1,2,210,36.4361686706543,4.937280893325806
random,1,2,211,36.383018493652344,4.937280893325806
