method,m,i,step,cost,time
sampled,5,5,176,14.353384017944336,53.091943979263306
sampled,5,5,177,14.577665328979492,53.091943979263306
sampled,5,5,178,14.186699867248535,53.091943979263306
sampled,5,5,179,13.876570701599121,53.091943979263306
sampled,5,5,180,14.09083366394043,53.091943979263306
sampled,5,5,181,14.059724807739258,53.091943979263306
sampled,5,5,182,14.178503036499023,53.091943979263306
sampled,5,5,183,14.16530990600586,53.091943979263306
sampled,5,5,184,14.27288818359375,53.091943979263306
sampled,5,5,185,14.29382610321045,53.091943979263306
sampled,5,5,186,14.23452377319336,53.091943979263306
sampled,5,5,187,14.23452377319336,53.091943979263306
sampled,5,5,188,14.016778945922852,53.091943979263306
sampled,5,5,189,14.186811447143555,53.091943979263306
sampled,5,5,190,14.082354545593262,53.091943979263306
sampled,5,5,191,14.082354545593262,53.091943979263306
sampled,5,5,192,14.065162658691406,53.091943979263306
sampled,5,5,193,14.065162658691406,53.091943979263306
sampled,5,5,194,14.081143379211426,53.091943979263306
sampled,5,5,195,14.081143379211426,53.091943979263306
sampled,5,5,196,14.188368797302246,53.091943979263306
sampled,5,5,197,14.451934814453125,53.091943979263306
sampled,5,5,198,14.403748512268066,53.091943979263306
sampled,5,5,199,14.32655143737793,53.091943979263306
sampled,5,5,200,14.17406177520752,53.091943979263306
sampled,5,5,201,14.117979049682617,53.091943979263306
sampled,5,5,202,14.069337844848633,53.091943979263306
sampled,5,5,203,13.923428535461426,53.091943979263306
sampled,5,5,204,13.937273025512695,53.091943979263306
sampled,5,5,205,13.996055603027344,53.091943979263306
sampled,5,5,206,14.1506986618042,53.091943979263306
sampled,5,5,207,14.327930450439453,53.091943979263306
sampled,5,5,208,14.653552055358887,53.091943979263306
sampled,5,5,209,15.173742294311523,53.091943979263306
sampled,5,5,210,15.723662376403809,53.091943979263306
sampled,5,5,211,15.416349411010742,53.091943979263306
sampled,5,5,212,15.173604011535645,53.091943979263306
sampled,5,5,213,15.23771858215332,53.091943979263306
sampled,5,5,214,15.035264015197754,53.091943979263306
sampled,5,5,215,15.02883529663086,53.091943979263306
sampled,5,5,216,14.591907501220703,53.091943979263306
sampled,5,5,217,14.175729751586914,53.091943979263306
sampled,5,5,218,14.175729751586914,53.091943979263306
sampled,5,5,219,14.281286239624023,53.091943979263306
sampled,5,5,220,14.29586410522461,53.091943979263306
sampled,5,5,221,14.001237869262695,53.091943979263306
sampled,5,5,222,13.971697807312012,53.091943979263306
sampled,5,5,223,13.695551872253418,53.091943979263306
sampled,5,5,224,13.777082443237305,53.091943979263306
sampled,5,5,225,13.888200759887695,53.091943979263306
sampled,5,5,226,13.519936561584473,53.091943979263306
sampled,5,5,227,13.568204879760742,53.091943979263306
sampled,5,5,228,13.342019081115723,53.091943979263306
sampled,5,5,229,13.342019081115723,53.091943979263306
sampled,5,5,230,13.376513481140137,53.091943979263306
sampled,5,5,231,13.479949951171875,53.091943979263306
sampled,5,5,232,13.479948997497559,53.091943979263306
sampled,5,5,233,13.44858455657959,53.091943979263306
sampled,5,5,234,13.431184768676758,53.091943979263306
sampled,5,5,235,13.460723876953125,53.091943979263306
sampled,5,5,236,13.559465408325195,53.091943979263306
sampled,5,5,237,13.4660005569458,53.091943979263306
sampled,5,5,238,13.399300575256348,53.091943979263306
sampled,5,5,239,13.375641822814941,53.091943979263306
sampled,5,5,240,13.753362655639648,53.091943979263306
sampled,5,5,241,13.472369194030762,53.091943979263306
sampled,5,5,242,13.633899688720703,53.091943979263306
sampled,5,5,243,13.677995681762695,53.091943979263306
sampled,5,5,244,13.619518280029297,53.091943979263306
sampled,5,5,245,14.23145580291748,53.091943979263306
sampled,5,5,246,14.330962181091309,53.091943979263306
sampled,5,5,247,14.27740478515625,53.091943979263306
sampled,5,5,248,14.213289260864258,53.091943979263306
sampled,5,5,249,14.203621864318848,53.091943979263306
sampled,5,5,250,14.805450439453125,53.091943979263306
sampled,5,5,251,14.934946060180664,53.091943979263306
sampled,5,5,252,14.779400825500488,53.091943979263306
sampled,5,5,253,13.9916410446167,53.091943979263306
